Architecture,Hidden Layers,Train MSE,Train MAE,Test MSE,Test MAE,Test RMSE,R2 Score,Test MAPE (%),Test Median AE
A1,[1],91.2669677734375,7.343348503112793,91.669677734375,7.356422424316406,9.574288626750207,0.7412277509797915,8.775621674098597,6.221231689453134
A2,[2],68.56455993652344,6.225226402282715,68.8482437133789,6.234182357788086,8.297147454589792,0.8056599608901046,7.347230424311219,5.101331481933599
A3,[3],66.31986999511719,6.033017158508301,66.54817962646484,6.036988258361816,8.15711130491301,0.8121645992072152,7.133985553131317,4.761644592285165
A4,[4],54.12653732299805,5.453835964202881,54.37918472290039,5.463554382324219,7.3727917996883106,0.8465493935231903,6.464129297754245,4.32576202392579
A5,[5],51.99177932739258,5.334900379180908,52.245426177978516,5.345364570617676,7.226729073477452,0.8525692020091149,6.342533159308776,4.2112982177734395
A6,[6],51.34635543823242,5.304871082305908,51.55792999267578,5.310933589935303,7.178804638079836,0.8545181086137508,6.312439617506181,4.150942077636714
A7,[7],49.894405364990234,5.198816299438477,50.105106353759766,5.206918716430664,7.076919954468515,0.8586182880852399,6.162335962052454,4.071096191406241
A8,[8],43.159000396728516,4.722482681274414,43.366546630859375,4.730169773101807,6.584022482080989,0.8776265287321487,5.545190365996746,3.6649224853515676
A9,[9],62.514408111572266,5.886567115783691,62.76930618286133,5.894079685211182,7.922217352600137,0.822826740089573,6.5947882427550635,4.695516357421866
B1,"[1, 1]",699.3375244140625,23.69774627685547,699.8241577148438,23.701005935668945,26.454152584974857,-0.9755697951115574,25.275731203737656,23.3607308959961
B2,"[1, 2]",284.79986572265625,13.875347137451172,285.23187255859375,13.882268905639648,16.88878350894404,0.19480437500579229,14.364017896924308,12.882802734374991
B3,"[1, 3]",195.378662109375,11.056169509887695,195.75808715820312,11.064983367919922,13.991320086641231,0.44738578302108123,11.48267287373246,9.392080078124991
B4,"[1, 4]",231.9835968017578,11.670709609985352,232.10267639160156,11.672324180603027,15.23488330582387,0.3447863549318152,11.97905131148265,9.361570129394522
B5,"[1, 5]",196.27186584472656,10.642501831054688,196.343505859375,10.64366626739502,14.012187921818963,0.44573612278579766,11.017841999266475,8.480367431640616
B6,"[1, 6]",120.37315368652344,8.41883659362793,120.8230972290039,8.429128646850586,10.991908250539115,0.6589242376576285,9.149558810373703,7.168680419921877
B7,"[1, 7]",123.14503479003906,8.82356071472168,123.60547637939453,8.833775520324707,11.117696627013494,0.6510732162367723,9.831981268239588,7.87321258544921
B8,"[1, 8]",138.65301513671875,8.713959693908691,138.69235229492188,8.7172212600708,11.77671543467492,0.6084808298768882,9.274410924536715,6.821561584472647
C1,"[2, 1]",655.044189453125,23.452808380126953,655.2125244140625,23.453834533691406,25.597076051137012,-0.8496322396882803,25.515164927306255,23.195047149658194
C2,"[2, 2]",299.72637939453125,14.904093742370605,300.0218811035156,14.905427932739258,17.32099784629018,0.15306421238290158,15.905197791982904,13.982610473632818
C3,"[2, 3]",183.63912963867188,10.886735916137695,183.83773803710938,10.887062072753906,13.558601311396995,0.48103932443865327,11.452665135260983,9.655404815673819
C4,"[2, 4]",126.31922912597656,8.70312786102295,126.71051025390625,8.710399627685547,11.256338380716501,0.6423164647327992,9.18359177610632,7.191541442871099
